Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Performance_Ratio,Power_Deviation,Anomaly_Score,Is_Anomaly_IF,Underperformance_Flag,Combined_Anomaly,Anomaly_Severity
2018-07-22 10:10:00,93.1976928710937,4.02903413772583,128.409328341472,262.71011352539,0.7257859950600483,-27.421399715235562,-0.5354025036185135,0,True,1,Moderate
2018-07-22 10:20:00,59.8562507629394,3.54955101013183,57.7461373431724,261.860809326171,1.0365411866543712,3.6541203971546476,-0.5738722928330829,1,False,1,Critical
2018-07-22 10:30:00,83.6772537231445,3.91926193237304,113.019781860755,269.666198730468,0.7403770526283731,-25.962293852361846,-0.542818447649581,0,True,1,Moderate
2018-07-22 10:40:00,58.2304801940917,3.58336091041564,61.8923452773788,276.703704833984,0.9408349124966767,-5.91650713462367,-0.5802671712586601,1,False,1,Critical
2018-07-22 10:50:00,211.169601440429,4.76362419128417,279.982708395316,285.549499511718,0.7542237229452348,-24.577627348311612,-0.5440161057569678,0,True,1,Moderate
2018-07-22 11:00:00,255.43960571289,5.12178087234497,366.490324061713,265.487701416015,0.6969886740390124,-30.30113232324026,-0.5309797463022623,0,True,1,Moderate
2018-07-22 11:10:00,320.101287841796,5.32828521728515,420.93247111846,267.80630493164,0.7604575770331927,-23.954242059112936,-0.5383568911359653,0,True,1,Moderate
2018-07-22 12:10:00,77.8138809204101,3.67332601547241,73.8158663440736,297.132995605468,1.0541619806172675,5.416199416449027,-0.5791907813811402,1,False,1,Critical
2018-07-23 03:00:00,32.4194984436035,3.79653096199035,92.245916656434,199.509506225585,0.3514464300127464,-64.85535591466655,-0.5398551872010041,0,True,1,Severe
2018-07-23 04:10:00,49.1855316162109,4.02604818344116,127.851283465218,185.355697631835,0.38470893602630835,-61.52910561521043,-0.521156350704402,0,True,1,Severe
2018-07-23 04:20:00,164.006195068359,4.43789005279541,208.967576481564,178.490203857421,0.7848403902889113,-21.515960492565736,-0.493670273866344,0,True,1,Moderate
2018-07-23 04:50:00,270.51431274414,5.08920812606811,358.221275105149,185.139892578125,0.7551598154229557,-24.48401817854736,-0.5034752266696308,0,True,1,Moderate
2018-07-23 05:20:00,169.667007446289,4.53954887390136,230.418113812194,198.83430480957,0.7363440482297966,-26.365594743026683,-0.49493049594983335,0,True,1,Moderate
2018-07-23 05:30:00,80.0266799926757,4.01125812530517,125.093047101985,199.916595458984,0.63973722926179,-36.02627627441607,-0.512988622018764,0,True,1,Moderate
2018-07-23 05:40:00,55.267578125,3.78429007530212,90.3061561870609,188.611892700195,0.6120023246091437,-38.799766431741425,-0.5287841580641311,0,True,1,Moderate
2018-07-23 17:00:00,44.1557693481445,4.1359429359436,148.659951300284,277.392700195312,0.2970253162664317,-70.29746770068071,-0.5572127531904455,0,True,1,Severe
2018-07-23 20:30:00,20.640920639038,3.8666489124298,103.819192191016,55.0723190307617,0.19881603781163043,-80.11839525562394,-0.5220130732630778,0,True,1,Severe
2018-07-23 20:40:00,69.8072662353515,3.96221208572387,120.858954576212,53.0363807678222,0.5775928304405378,-42.24071612853547,-0.49927202594771886,0,True,1,Severe
2018-07-23 20:50:00,22.4984607696533,3.63405895233154,68.4523468771513,40.4370384216308,0.3286733248365767,-67.13266605547207,-0.5463563313805412,0,True,1,Severe
2018-07-23 22:50:00,535.476806640625,5.64005899429321,510.207400212692,343.843292236328,1.049527712392786,4.952771435277329,-0.5886140754377747,1,False,1,Critical
2018-07-23 23:10:00,40.240909576416,3.69551706314086,76.9560648301158,60.778881072998,0.5229075725524969,-47.70924144530759,-0.512037867698186,0,True,1,Severe
2018-07-24 01:00:00,86.1734771728515,3.90395593643188,110.297496766656,288.599609375,0.7812822495317078,-21.871774140190347,-0.5584286319094522,0,True,1,Moderate
2018-07-24 01:10:00,121.584999084472,4.24958276748657,170.792369322944,268.780700683593,0.7118877667343811,-28.81122274105564,-0.5416642603441143,0,True,1,Moderate
2018-07-24 01:30:00,1639.22998046875,8.5751724243164,1874.5483930047,290.920288085937,0.8744666105774807,-12.553338888905744,-0.5645000706675838,1,False,1,Critical
2018-07-24 01:50:00,401.784301757812,5.53605794906616,479.432670570434,321.192901611328,0.8380411381680011,-16.19588597462003,-0.5779295829981541,1,False,1,Critical
2018-07-24 02:00:00,413.158294677734,5.6221580505371,504.83701736206,354.85220336914,0.8183993638545427,-18.160063416462005,-0.5963449523322117,1,False,1,Critical
2018-07-24 02:10:00,469.523712158203,5.65320491790771,514.170929762404,359.549896240234,0.9131665834589311,-8.68334145961904,-0.5874098502872921,1,False,1,Critical
2018-07-24 02:30:00,100.340797424316,4.11139488220214,143.962608757491,25.2547092437744,0.6969920703253633,-30.300792272838873,-0.5143151353739442,0,True,1,Moderate
2018-07-24 02:40:00,57.9609909057617,3.84947490692138,100.911806420612,16.690050125122,0.5743727358303438,-42.562725426001315,-0.5413207916989526,0,True,1,Severe
2018-07-24 02:50:00,132.051193237304,4.44286823272705,210.003763781253,345.743194580078,0.6288039329906917,-37.11960622474889,-0.5895572266626256,1,True,1,Critical
2018-07-24 03:00:00,361.3837890625,5.61960697174072,504.07418586484,343.579986572265,0.7169257987800904,-28.30741992360746,-0.5892513201248832,1,True,1,Critical
